"id","name","release_date","total_tracks","type","genres","label","popularity"
"03guxdOi12XJbnvxvxbpwG","Submarine","2024-05-31",14,"album","","Nice Life/Atlantic",75
"5TkaDC4mYSLBvdG6UrIB0v","CINEMA","2021-06-25",13,"album","","Nice Life/Atlantic",69
"1Iu5sceGmML4CeQ2f5Q6aO","Superclean, Vol. II","2018-09-28",6,"single","","Superclean Records",68
"5XX1xVOP61GDQCGaZMLjhO","Superclean, Vol. I","2017-11-03",6,"single","","Superclean Records",64
